cQtrAvgEst,cQtrHighEst,cQtrLowEst,cQtrNoAnlst,cQtrYearAgoEPS,cYearAvgEst,cYearHighEst,cYearLowEst,cYearNoAnlst,cYearYearAgoEPS,nQtrAvgEst,nQtrHighEst,nQtrLowEst,nQtrNoAnlst,nQtrYearAgoEPS,nYearAvgEst,nYearHighEst,nYearLowEst,nYearNoAnlst,nYearYearAgoEPS,tickerName
0,0,0,--,0.03,0.12,0.14,0.1,2,0.1,0.03,0.03,0.03,1,0.02,0.14,0.17,0.11,High Estimate,0.12,A
0.87,1.15,0.7,5,1,4.86,4.9,4.82,8,4.63,1.32,1.55,1.03,6,1.1,5.22,5.26,5.14,High Estimate,4.86,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.01,0.22,-0.13,15,-0.17,-0.53,0.1,-1.15,20,-1.28,0.04,0.31,-0.28,15,-0.16,-0.01,1.53,-0.82,High Estimate,-0.53,A
0.09,0.09,0.09,1,--,-1.37,-1.19,-1.77,7,--,-0.72,-0.66,-0.84,6,--,0.07,0.31,-0.07,High Estimate,-1.37,A
2.68,2.78,2.64,15,2.84,11.6,11.65,11.55,17,11.75,4.08,4.15,4.01,15,3.62,12.72,13.23,12.5,High Estimate,11.6,A
0.56,0.6,0.52,3,0.65,2.38,2.45,2.31,3,2.82,0.56,0.58,0.52,3,0.76,2.45,2.59,2.31,High Estimate,2.38,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.41,0.45,0.35,7,0.53,1.78,2.14,1.61,17,1.88,0.44,0.48,0.4,7,0.57,1.87,2.17,1.62,High Estimate,1.78,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.2,0.54,0.02,30,-0.13,0.75,1.25,0.29,29,-1.13,0.36,0.61,0.13,30,-0.11,1.68,2.49,0.95,High Estimate,0.75,A
